pais,email
Azerbaijan,brasilia_mission@mfa.gov.az
Bangladeshi,bdoot.brasilia@gmail.com
Barbados,jmap@jmap.com.br
Belarus,consuladodebelarus@terra.com.br
Belgium,brasilia@diplobel.fed.be
Belize,belizeconul@secrel.com.br
Benin,consulado.rj@benin.org.br
Bolivia,embolivia@embolivia.org.br
Bulgaria,bulgaria@linkexpress.com.br
Burkina Faso,ambawdc@verizon.net
Cameroon,embcameroun@embcameroun.org.br
Canada,brsla@international.gc.ca
Chile,embchile@embchile.org.br
China,chinaemb_br@mfa.gov.cn
Colombia,embajada.brasilia@sprintcol.sprint.com
Costa Rica,embcostaricabr@solar.com.br
Croatia,embaixada.croacia@terra.com.br
Cuba,embacuba@uol.com.br
Cyprus,eduardo@sfiec.org.br
Czech Republic,brasilia@embassy.mzv.cz
Denmark,bsbamb@um.dk
Dominican Republic,embaj-dargam@nutecnet.com.br
Ecuador,embeq@solar.com.br
Egypt,embegito@opengate.com.br
El Salvador,embelsalvador@aol.com
Finland,sanomat.bra@formin.fi
France,france@ambafrance.org.fr
Germany,petra@hk.vitoria.nom.br
Ghana,info@ghanaembassy.org
Greece,gremb.bay@mfa.gr
Greenland,riodejaneirodk@terra.com.br
Guatemala,consulguate@terra.com.br
Guyana,oficial.chancelaria@consuladoguianario.com.br
Haiti,nfo@consulathaitiboston.com
Honduras,cgh-rj@yahoo.com
Hungary,lequerica@ieee.org
India,bhojwani@indiaconsulate.org.br
Indonesia,paulocamiz@talset-el.com.br
Iran,webiran@webiran.org.br
Ireland,brasiliaembassy@dfa.ie
Israel,info@brasilia.mfa.gov.il
Italy,ambasciata.brasilia@esteri.it
Jamaica,marapia@bastostigre.com.br
Japan,watanabe@if.usp.br
Jordan,emb.jordania@apis.com.br
Kuwait,info@kuwait.com.ar
Lebanon,embaixada@libano.org.br
Liberia,info@embassyofliberia.org
Lithuania,francisco.blagevitch@asystsudamerica.com
Luxembourg,francois.moyen@belgo.com.br
Malawi,malawiembassybrazil@gmail.com.br
Malaysia,malbrasilia@kln.gov.my
Malta,maltaconsul.riodejaneiro@gov.mt
Mexico,embamexbra@cabonet.com.br
Monaco,consulmonaco@uol.com.br
Morocco,sifamarbr@tba.com.br
Myanmar,mebrsl@brnet.com.br
Namibia,thomasjbloch@rmbseguros.com.br
Netherlands,consul.es@marmorexport.com.br
New Zealand,zelandia@nwi.com.br
Norway ,emb.buenosaires@mfa.no
Pakistan,camaras@acrj.org.br
Palestine,embpalestina@uol.com.br
Panama,panaconsul@panaconsul.com.br
Paraguay,embapar@yawl.com.br
Peru,consperurecife@ig.com.br
Philippines,pheba@fibertel.com.ar
Poland,kurytyba.kg.sekretariat@msz.gov.pl
Portugal,embaixadadeportugal@embaixadadeportugal.org.br
Romania,administrator@cons-gen-romania-rio.co
Russia,consulado.russia@radnet.com.br
San Marino,consolatosanmarino@bol.com.br
Saudi Arabia,bremb@mofa.gov.sa
Senegal,senebrasilia@bol.com.br
Serbia,embiugos@terra.com.br
Seychelles,luizpicollo@yahoo.com.br
Slovakia,emb.brasilia@mzv.sk
Slovenia,zherman@interpack.com.ar
South Africa,ptbamb@iis.com.br
South Korea,cscoreia@mofat.go.kr
Spain,consesp.sbahia@correo.mae.es
Sudan,sdbrasilia@sudanbrasilia.org
Sweden,brusell@tera.com.br
Switzerland,icosa@matrix.com.br
Syria,kabril@starbox.com
Taiwan,eect@uol.com.br
Thailand,thaiemb@mfa.go.th
Tunisia,at.brasilia@terra.com.br
Turkey,embassy.brasil@mfa.gov.tr
Ukraine,consuladodaucraniaemps@mandic.com.br
United Arab Emirates,uae@uae.org.br
United Kingdom,press.brasilia@fco.gov.uk
United States,contact@embaixadaamericana.org.br
Uruguay,urubras@emburuguai.org.br
Venezuela,convensp@telnet.com.br
Vietnam,embavina.brasil@yahoo.com
Zimbabwe,zimbrasilia@uol.com.br
Albania,amaral@consul.cc
Algeria,embajadaargelia@fibertel.com.ar
Angola,embaixada.brasil@mirex.gov.ao
Argentina,cflor@cancilleria.gob.ar
Armenia,armbrasilembassy@mfa.am
Australia,embaustr@dfat.gov.au
Austria,brasilia-ob@bmeia.gv.at
